airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,retweet_count,text,tweet_created,latitude,longitude,negative_score,positive_score,neutral_score,compound_score,NltkResult,TextBlob Polarity Score,Textblob PolarityResult sentiment,TextBlob Subjectivity Score,Textblob SubjectivityResult sentiment,Happy,Angry,Surprise,Sad,Fear,emotionResult
neutral,1,,0,Southwest,idk_but_youtube,0,southwestair know suicide second leading death among teens,24-02-2015 10:45,38.64476707,-119.3668097,0.583,0,0.417,-0.8555,negative,0,neutral,0,Very Objective,0,0.5,0,0,0.5,angry
positive,0.7004,,0,Southwest,PiersonStone,0,southwestair never mind moved flight tomorrow thanks help,24-02-2015 10:45,35.81440018,-119.7647808,0,0.483,0.517,0.6808,positive,0.2,positive,0.2,Objective,0,0,1,0,0,surprise
neutral,0.7015,,0,Southwest,brittanylinnes,0,southwestair needs wheelchair gate sure options,24-02-2015 10:44,38.94131959,-119.4168119,0,0.315,0.685,0.3182,positive,0.5,positive,0.5,Neutral,0,0,0,0,1,fear
positive,1,,0,Southwest,cheesensausage,0,southwestair managed sorted phone good luck dealing snow texas,24-02-2015 10:44,38.79725882,-119.2225028,0,0.457,0.543,0.7096,positive,0.7,positive,0.7,Subjective,0.67,0,0,0,0.33,happy
negative,1,Flight Attendant Complaints,0.3723,Southwest,tonybrancato,0,southwestair grounded flights equipment problems rude wife traveling alone young kids never,24-02-2015 10:43,33.77932025,-119.3554841,0.461,0,0.539,-0.7717,negative,-0.1,negative,-0.1,Very Objective,0.2,0,0.4,0.2,0.2,surprise
neutral,0.3511,,0,Southwest,Marc_Hoffman,0,southwestair promise unfollow,24-02-2015 10:43,36.48709184,-118.866036,0,0.535,0.465,0.3182,positive,0,neutral,0,Very Objective,0,0,0,1,0,sad
neutral,1,,0,Southwest,NecroticDoctor,0,southwestair dmed confirmation number,24-02-2015 10:36,39.01417476,-118.5372555,0,0.302,0.698,0.0772,positive,0,neutral,0,Very Objective,0,0,0,0,1,fear
negative,1,Late Flight,1,Southwest,Heavenlychc9,0,southwestair look delayed flight additional half hour arriving officially five hours planned,24-02-2015 10:29,37.58267337,-119.5485999,0.147,0,0.853,-0.2263,negative,-0.166666667,negative,-0.166666667,Very Objective,0,0,0,0,0,Neutral
positive,1,,0,Southwest,crook_justin,0,southwestair weather system outage hopefully everything goes smoothly thank follow,24-02-2015 10:28,36.19526259,-118.4819468,0,0.394,0.606,0.6369,positive,0.4,positive,0.4,Neutral,0.25,0,0,0.25,0.5,fear
negative,1,Bad Flight,0.702,Southwest,crook_justin,0,southwestair belt issues rough worst part traveling month wait outside degree,24-02-2015 10:27,36.76729306,-119.0501222,0.291,0,0.709,-0.6249,negative,-0.366666667,negative,-0.366666667,Very Objective,0,0,0.33,0.67,0,sad
neutral,1,,0,Southwest,unknownfilmaker,0,southwestair atlanta,24-02-2015 10:27,37.56016915,-118.9199125,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,0.6477,Lost Luggage,0.3295,Southwest,crook_justin,0,southwestair moved flight main concern luggage arriving told,24-02-2015 10:26,39.09960548,-120.751688,0,0,1,0,neutral,0.166666667,positive,0.166666667,Very Objective,0,0,0,0.67,0.33,sad
positive,0.6456,,0,Southwest,jparkermastin,0,southwestair used always southwest,24-02-2015 10:25,35.4142087,-119.2591776,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,1,0,sad
negative,1,Lost Luggage,1,Southwest,jparkermastin,0,southwestair bags hours late flightr offer pick taxi costs spent inconvenience,24-02-2015 10:22,36.1560617,-120.437781,0.2,0,0.8,-0.3612,negative,-0.2,negative,-0.2,Very Objective,0,0,0.33,0.33,0.33,surprise
negative,0.6526,Can't Tell,0.3684,Southwest,MauriceRabb,0,southwestair expecting credit,24-02-2015 10:21,35.92403456,-118.9371965,0,0.565,0.435,0.3818,positive,0,neutral,0,Very Objective,0.5,0,0,0,0.5,happy
neutral,1,,0,Southwest,briman007,0,southwestair sure please follow,24-02-2015 10:20,37.81069257,-118.9150821,0,0.697,0.303,0.5574,positive,0.5,positive,0.5,Neutral,0,0,0,0.5,0.5,sad
negative,1,Bad Flight,0.3525,Southwest,JJBehrens,0,southwestair appreciate getting gate issue figured plenty open gates wait tarmac,24-02-2015 10:17,39.37186751,-119.2066199,0,0.213,0.787,0.4019,positive,0,neutral,0,Very Objective,0.33,0,0.33,0,0.33,happy
neutral,1,,0,Southwest,JReneeX0X0,0,southwestair sent,24-02-2015 10:15,38.72388893,-120.3125068,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,1,fear
negative,1,Customer Service Issue,0.6691,Southwest,jawswald,0,southwestair minutes hold waiting ridiculous,24-02-2015 10:13,34.11034336,-119.2502259,0.385,0,0.615,-0.3612,negative,-0.333333333,negative,-0.333333333,Very Objective,0,0,1,0,0,surprise
negative,0.627,Customer Service Issue,0.627,Southwest,Heavenlychc9,0,southwestair seen messages past hour,24-02-2015 10:11,35.68146636,-119.2730693,0,0,1,0,neutral,-0.25,negative,-0.25,Very Objective,0,0,0,1,0,sad
neutral,1,,0,Southwest,MnMwillmott,0,southwestair following,24-02-2015 10:10,34.91976008,-119.4487457,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
positive,1,,0,Southwest,catjubs,0,southwestair thank awesome flights sweetheart screwed flyfrontier managed scramble plane today,24-02-2015 10:08,36.67741189,-119.9425897,0.152,0.517,0.332,0.8271,positive,1,positive,1,Very Subjective,0,0,0.33,0,0.67,fear
positive,1,,0,Southwest,RebeccaKling,0,southwestair thanks much,24-02-2015 10:08,37.46100629,-119.8110237,0,0.592,0.408,0.4404,positive,0.2,positive,0.2,Objective,0,0,0,0,0,Neutral
positive,1,,0,Southwest,VolunteerLBK,0,southwestair round trip tickets arrived auction post masters invitational thanks southwest mrfbjtepef,24-02-2015 10:07,39.28268535,-119.4115468,0,0.209,0.791,0.4404,positive,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,1,Flight Booking Problems,0.6606,Southwest,slobotski,0,southwestair went purchase flight began processing even minutes earlier points gone help,24-02-2015 10:04,34.83638002,-119.6574399,0,0.197,0.803,0.4019,positive,0,neutral,0,Very Objective,0,0,0.4,0,0.6,fear
negative,1,Damaged Luggage,1,Southwest,coromex97,0,southwestair upset luggage damaged rude employee laguardia airport help,24-02-2015 10:01,40.96012759,-119.0627233,0.525,0.167,0.309,-0.7003,negative,-0.3,negative,-0.3,Very Objective,0,0,0.5,0,0.5,surprise
positive,0.673,,0,Southwest,kelsey_rae2011,0,southwestair stream means spend flight watching women world finals throwback bestflightever,24-02-2015 10:01,36.55450697,-119.1813454,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0.5,0,0.5,surprise
neutral,0.6655,,0,Southwest,srsable7290,0,southwestair status check area,24-02-2015 09:58,35.38953902,-119.4702709,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
positive,0.345,,0,Southwest,SMiles1307,0,southwestair heavenlychc would least enjoy free cocktail,24-02-2015 09:57,35.62174222,-120.0748613,0.24,0.302,0.458,0.171,positive,0.166666667,positive,0.166666667,Very Objective,0.67,0,0,0,0.33,happy
positive,1,,0,Southwest,NinjaEpisode,0,southwestair agree news airline away favorite newsbusiness owlainimy,24-02-2015 09:55,37.12786567,-119.0186646,0,0.478,0.522,0.6705,positive,0.5,positive,0.5,Neutral,0.5,0.5,0,0,0,happy
negative,1,Lost Luggage,0.6736,Southwest,Heavenlychc9,0,southwestair flight matters next luggage properly transferred facepalm,24-02-2015 09:54,30.89806571,-118.9557799,0,0.136,0.864,0.0258,positive,0,neutral,0,Very Objective,0.5,0,0,0,0.5,happy
negative,1,Customer Service Issue,1,Southwest,michaelossa,0,southwestair phone service sucks,24-02-2015 09:54,36.32129804,-119.4114299,0.455,0,0.545,-0.3612,negative,-0.3,negative,-0.3,Very Objective,0,0,0,0,0,Neutral
neutral,0.6699,,0,Southwest,PiersonStone,0,southwestair flight delayed miss flight denver find hold plane,24-02-2015 09:51,37.7948574,-118.3834891,0.333,0,0.667,-0.3612,negative,0,neutral,0,Very Objective,0,0,0,1,0,sad
positive,1,,0,Southwest,sundialtours,0,southwestair airport snow removal method keep good work folks cessna become pofsxojsy,24-02-2015 09:49,35.26615697,-119.8536908,0,0.209,0.791,0.4404,positive,0.7,positive,0.7,Subjective,0.33,0,0,0,0.67,fear
negative,0.7,Flight Attendant Complaints,0.3667,Southwest,SLCsRaddest,0,southwestair people exit still supposed give verbal approvals never asked flight,24-02-2015 09:46,34.08135289,-119.0451516,0,0,1,0,neutral,0,neutral,0,Very Objective,0.25,0,0,0,0.75,fear
negative,1,Late Flight,1,Southwest,Heavenlychc9,0,southwestair arrival delayed nearly hours yeah entire airport idea stress less vacation fail,24-02-2015 09:40,32.64516685,-120.0239023,0.414,0.115,0.471,-0.6929,negative,-0.141666667,negative,-0.141666667,Very Objective,0,0,0,0,1,fear
negative,1,Cancelled Flight,1,Southwest,Heavenlychc9,0,southwestair company caused lose entire vacation cancun boarded waiting another plane,24-02-2015 09:40,37.86310011,-119.4924022,0.213,0,0.787,-0.4019,negative,0,neutral,0,Very Objective,0,0,0.33,0.33,0.33,surprise
negative,0.6508,Flight Booking Problems,0.3601,Southwest,cheesensausage,0,southwestair trying change reservation hold minutes cannot online directed call help,24-02-2015 09:37,35.10282093,-119.222517,0,0.213,0.787,0.4019,positive,0,neutral,0,Very Objective,0,0,0.33,0,0.67,fear
negative,1,Customer Service Issue,1,Southwest,NecroticDoctor,0,southwestair first call dropped waited mins second time late flightr online,24-02-2015 09:33,36.36165145,-120.6195272,0,0,1,0,neutral,-0.016666667,negative,-0.016666667,Very Objective,0,0,0.67,0.33,0,surprise
negative,0.7024,Flight Booking Problems,0.7024,Southwest,Marc_Hoffman,0,southwestair trying make change reservation whenever select flight says unable price please help,24-02-2015 09:31,35.45496742,-119.3499465,0,0.312,0.688,0.6124,positive,-0.5,negative,-0.5,Very Objective,0,0,0.33,0.5,0.17,sad
negative,1,Customer Service Issue,0.6411,Southwest,Heavenlychc9,0,southwestair great boarding perfectly plane shot plans screwed thanks nothing southwestair,24-02-2015 09:29,35.89385435,-118.7420308,0.15,0.523,0.327,0.8402,positive,0.666666667,positive,0.666666667,Subjective,1,0,0,0,0,happy
neutral,0.6746,,0,Southwest,CTHUSTLEHARDER,0,southwestair teyana taylor performing medusafridays free till qwfmoqdql kbbbfxmk themenofbusiness,24-02-2015 09:29,36.8125155,-118.6261956,0,0.268,0.732,0.5106,positive,0.4,positive,0.4,Neutral,1,0,0,0,0,happy
negative,1,Bad Flight,0.3542,Southwest,bmorechi,0,southwestair plane toilets done even work goes family vacay playa carmen mexico neveragain,24-02-2015 09:28,40.14087388,-119.0393782,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0.33,0,0.67,fear
negative,1,Can't Tell,1,Southwest,NaLeih,0,southwestair thanks apology unfortunately many experiences longer flying southwest,24-02-2015 09:23,33.27385227,-120.2613644,0.192,0.328,0.48,0.1779,positive,0.35,positive,0.35,Objective,0,0,0,1,0,sad
negative,0.651,Customer Service Issue,0.651,Southwest,JReneeX0X0,0,southwestair told customer service customer relations extend expiration date unused travel funds,24-02-2015 09:23,38.52809659,-119.2260865,0,0.134,0.866,0.1779,positive,0,neutral,0,Very Objective,0,0,0,0.5,0.5,sad
negative,1,Late Flight,1,Southwest,Heavenlychc9,0,southwestair smiles hours vouchers inexcusable flight check,24-02-2015 09:21,36.7820521,-119.5251158,0,0.341,0.659,0.4767,positive,0,neutral,0,Very Objective,1,0,0,0,0,happy
neutral,1,,0,Southwest,tbranagh,0,southwestair flight birmingham tomorrow night reschedule earlier flight expected snow,24-02-2015 09:20,38.44846392,-119.7222237,0,0,1,0,neutral,-0.05,negative,-0.05,Very Objective,1,0,0,0,0,happy
neutral,0.6806,,0,Southwest,MarlaDShepard,0,follow back southwestair,24-02-2015 09:20,34.98105416,-118.9632524,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,1,Bad Flight,0.6481,Southwest,Singal3,0,southwestair horrible experience passenger size seat offered voucher christine xzrkwvq,24-02-2015 09:19,37.33282203,-119.5069997,0.28,0,0.72,-0.5423,negative,-1,negative,-1,Very Objective,0,0,0,0,1,fear
neutral,0.6542,,0,Southwest,Heavenlychc9,0,southwestair time flying southwest years another trip back october,24-02-2015 09:19,36.59161847,-119.0817956,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,0.69,Can't Tell,0.69,Southwest,ceoDanya,0,southwestair much looking forward using airlines future flights never,24-02-2015 09:17,36.41038911,-119.0214547,0,0,1,0,neutral,0.1,positive,0.1,Very Objective,0,0,0,0,0,Neutral
negative,1,Bad Flight,0.3485,Southwest,ceoDanya,0,southwestair need learn treat people respect little dignity fail,24-02-2015 09:16,38.24709472,-120.1532136,0.196,0.5,0.304,0.6105,positive,-0.34375,negative,-0.34375,Very Objective,0.5,0,0.5,0,0,happy
negative,1,Flight Booking Problems,1,Southwest,RealMaryAgnes,0,southwestair redeem points packages magically gone time finally felt like baitandswitch,24-02-2015 09:15,36.80616759,-119.3118996,0,0.2,0.8,0.3612,positive,0.25,positive,0.25,Objective,0,0,0.25,0.25,0.5,fear
neutral,1,,0,Southwest,JBadnastythug,0,southwestair done,24-02-2015 09:15,36.02864819,-119.7749502,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,1,Customer Service Issue,1,Southwest,julia021685,0,southwestair think faster response twitter call,24-02-2015 09:13,33.84252954,-119.1268577,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0.33,0.67,0,sad
neutral,0.67,,0,Southwest,ElaineBBfan,0,southwestair idea winter advisory posted tomorrow would rather tonight,24-02-2015 09:12,39.16578712,-119.6319765,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,1,fear
negative,1,Flight Attendant Complaints,0.6764,Southwest,MnMwillmott,0,southwestair watch staff check passenger list twice first time forgot look brutal,24-02-2015 09:06,34.98685676,-119.9734321,0.272,0,0.728,-0.6249,negative,-0.3125,negative,-0.3125,Very Objective,0,0.5,0.5,0,0,angry
negative,1,Late Flight,1,Southwest,MnMwillmott,0,southwestair flight last night almost hour delay someone plane without pass sounds safe,24-02-2015 09:04,37.63115239,-119.046566,0.287,0,0.713,-0.5311,negative,0.25,positive,0.25,Objective,0,0,0,0,0,Neutral
positive,1,,0,Southwest,_missjoannalee,0,southwestair quick response action make good voucher satisfied happycustomer,24-02-2015 09:02,39.05966469,-118.9567084,0,0.449,0.551,0.6908,positive,0.408333333,positive,0.408333333,Neutral,0.2,0.2,0,0.4,0.2,sad
negative,0.6837,Customer Service Issue,0.3673,Southwest,passthechorizo,0,southwestair nothing help restore barely expired rapidrewards points,24-02-2015 08:58,37.58352717,-119.55303,0.409,0,0.591,-0.4847,negative,0.05,positive,0.05,Very Objective,0,0,1,0,0,surprise
negative,1,Flight Booking Problems,1,Southwest,RealMaryAgnes,0,southwestair rapid rewards program sold short lasttweetaboutthis still disappointed,24-02-2015 08:57,36.88938042,-119.6860823,0.235,0.235,0.53,0,neutral,-0.375,negative,-0.375,Very Objective,0,0.5,0,0.5,0,angry
negative,1,Bad Flight,1,Southwest,Heavenlychc9,0,southwestair freezing plane,24-02-2015 08:55,36.85796865,-118.81908,0.412,0,0.588,-0.1027,negative,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,1,Flight Attendant Complaints,0.697,Southwest,Heavenlychc9,0,southwestair airline people screwed boarding passes back puerto vallarta horrible,24-02-2015 08:55,34.42386856,-119.1179027,0.456,0,0.544,-0.7717,negative,-0.5,negative,-0.5,Very Objective,0,0,0,0,1,fear
negative,1,Can't Tell,0.3378,Southwest,Heavenlychc9,0,southwestair groupa group never next south west flight even honey moon,24-02-2015 08:54,38.91832384,-119.8001954,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,1,0,0,surprise
negative,1,Cancelled Flight,1,Southwest,Heavenlychc9,0,southwestair flight atlanta getting cancelled flightled schedule phone hours bumping,24-02-2015 08:54,38.54274481,-120.04723,0.182,0,0.818,-0.25,negative,0,neutral,0,Very Objective,0,0,1,0,0,surprise
negative,1,Can't Tell,0.6917,Southwest,Heavenlychc9,0,southwestair apparent water issue checked fine checks husband already deal first,24-02-2015 08:53,37.51962857,-118.5925862,0,0.153,0.847,0.2023,positive,0.238888889,positive,0.238888889,Objective,0.33,0,0.33,0.33,0,happy
negative,1,Customer Service Issue,0.3656,Southwest,Heavenlychc9,0,southwestair pissed hungry tired people stuck midway hours scheduled departure inexcusable,24-02-2015 08:52,36.88618874,-119.5860556,0.532,0,0.468,-0.8442,negative,-0.4,negative,-0.4,Very Objective,0,0.5,0,0,0.5,angry
negative,1,Can't Tell,0.3426,Southwest,byronics,0,southwestair know lost baggage portal huclxluvh work mobile ozrqpcr,24-02-2015 08:51,35.00848,-119.8547116,0.223,0,0.777,-0.3182,negative,0,neutral,0,Very Objective,0,0,0,0.5,0.5,sad
negative,1,Bad Flight,0.6654,Southwest,Patobrien61,0,southwestair going charge wifi solid make sure take length flight open page,24-02-2015 08:51,37.52044387,-119.9483341,0,0.281,0.719,0.4404,positive,0.166666667,positive,0.166666667,Very Objective,0.2,0,0,0.2,0.6,fear
negative,0.708,Late Flight,0.708,Southwest,smcrissman,0,southwestair website reverted flight minute delay changed reliable information,24-02-2015 08:50,35.47305661,-119.3087991,0.223,0,0.777,-0.3182,negative,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,1,Cancelled Flight,0.6406,Southwest,joelwg,0,southwestair helps hotel industry always book flights need somewhere consistent cancelled flights delays,24-02-2015 08:50,38.26324582,-119.774666,0.128,0.167,0.705,0.1531,positive,0.25,positive,0.25,Objective,0,0,0.5,0.5,0,surprise
negative,1,Customer Service Issue,1,Southwest,gabehosler,0,southwestair unfortunately call answered service horrid role model finger pointing excuses disappointed,24-02-2015 08:49,35.65001213,-119.1339561,0.5,0,0.5,-0.8402,negative,-0.625,negative,-0.625,Very Objective,0,0,0.17,0.5,0.33,sad
neutral,0.6475,,0,Southwest,SamDori4,0,southwestair barzegar charges tourists euros night stay tent village runs igsvzvrbbn,24-02-2015 08:49,36.18084886,-119.0085856,0.174,0,0.826,-0.2732,negative,0,neutral,0,Very Objective,0.5,0.5,0,0,0,happy
neutral,1,,0,Southwest,unknownfilmaker,0,southwestair please make sense companion promo,24-02-2015 08:44,38.88924132,-118.8844537,0,0.315,0.685,0.3182,positive,0,neutral,0,Very Objective,0,0,0,1,0,sad
neutral,0.6818,,0,Southwest,JBadnastythug,0,southwestair unfortunately even phone died chance grab,24-02-2015 08:42,32.95759503,-119.4838057,0.5,0.167,0.333,-0.6124,negative,-0.5,negative,-0.5,Very Objective,0,0,0,0.33,0.67,fear
neutral,0.6382,,0,Southwest,briman007,0,southwestair live atlanta cannot enroll atlanta companion promotion error every time help also sent email thanks,24-02-2015 08:40,40.46071676,-119.6762956,0.127,0.263,0.61,0.4404,positive,0.168181818,positive,0.168181818,Very Objective,0,0,0.33,0.33,0.33,surprise
negative,1,Customer Service Issue,1,Southwest,SMiles1307,0,southwestair frustrating indeed especially knows issue,24-02-2015 08:40,36.8791968,-119.226014,0.367,0,0.633,-0.4404,negative,-0.2,negative,-0.2,Very Objective,0,1,0,0,0,angry
negative,1,Customer Service Issue,0.6382,Southwest,island_girl4321,0,southwestair hold customer service quicker rebooked trip lower fare difference,24-02-2015 08:38,35.29173559,-118.902208,0.196,0,0.804,-0.296,negative,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
neutral,1,,0,Southwest,laurabogart14,0,southwestair chantilly paris france,24-02-2015 08:37,35.19744184,-119.1139343,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,1,Customer Service Issue,0.6526,Southwest,ChefBillyParisi,0,southwestair responding,24-02-2015 08:37,36.80819449,-119.5251882,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,1,Customer Service Issue,0.6224,Southwest,JBadnastythug,0,southwestair booked flight phone never confirmation email would getting,24-02-2015 08:37,36.91685459,-119.4234246,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,1,fear
negative,0.6619,Late Flight,0.6619,Southwest,SMiles1307,0,southwestair supposed take almost hours vacationfail frozenwater gettingimpatient theycouldatleastofferfreebooze,24-02-2015 08:34,38.79750345,-119.9205889,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,1,fear
negative,1,Customer Service Issue,0.3535,Southwest,longlive94,0,southwestair come getting points rapid reward shopping site,24-02-2015 08:33,36.36064552,-119.6358058,0,0.346,0.654,0.5719,positive,0,neutral,0,Very Objective,0,0,1,0,0,surprise
neutral,0.6489,,0,Southwest,MichaelDes2015,0,southwestair flying tampa denver today want know seats like jetblue,24-02-2015 08:30,36.95582193,-119.0653959,0,0.322,0.678,0.4215,positive,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
neutral,1,,0,Southwest,crook_justin,0,southwestair carol thrower passengers fort lauderdale airport,24-02-2015 08:23,37.01165042,-119.2099102,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,1,fear
negative,1,Late Flight,0.3505,Southwest,crook_justin,0,southwestair mins answer wife baby need flight arrived prior please help venetia crook,24-02-2015 08:23,34.07225861,-120.1209223,0,0.312,0.688,0.6124,positive,0,neutral,0,Very Objective,0,0,0.33,0.67,0,sad
negative,1,Customer Service Issue,1,Southwest,crook_justin,0,southwestair wife month might miss flight next direct mother hold customer support,24-02-2015 08:22,36.50901005,-119.9712463,0.112,0.189,0.699,0.2732,positive,0.05,positive,0.05,Very Objective,0,0.33,0,0.33,0.33,angry
negative,1,longlines,0.6835,Southwest,crook_justin,0,southwestair flight wife traveling infant line check baggage people long computer system crash,24-02-2015 08:21,36.01980039,-119.6770857,0.184,0,0.816,-0.4019,negative,-0.05,negative,-0.05,Very Objective,0,0,0.25,0,0.75,fear
positive,0.6771,,0,Southwest,joshkmm,0,southwestair thanks sent know need additional information,24-02-2015 08:17,34.95752332,-119.7862182,0,0.326,0.674,0.4404,positive,0.2,positive,0.2,Objective,0,0,0,0,1,fear
negative,1,Customer Service Issue,1,Southwest,user47,0,southwestair friends phone list number hangs multiple times sure proceed,24-02-2015 08:16,33.16718989,-120.3275847,0,0.489,0.511,0.6908,positive,0.25,positive,0.25,Objective,0.33,0,0,0,0.67,fear
positive,1,,0,Southwest,kdtwill,2,southwestair strives customer centric everything communications advertising customer journey anamarketers,24-02-2015 08:13,37.10814064,-119.420073,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,1,0,sad
negative,1,Late Flight,1,Southwest,SNBalzac,0,southwestair always traffic insane cannot issue flight,24-02-2015 08:05,35.11503928,-119.74076,0.31,0,0.69,-0.4019,negative,-1,negative,-1,Very Objective,0,0,0.5,0.5,0,surprise
negative,1,Customer Service Issue,0.6714,Southwest,SNBalzac,0,southwestair insane traffic trying call schedule flight phone minutes nothing,24-02-2015 08:05,34.8603353,-119.8170809,0.231,0,0.769,-0.4019,negative,-1,negative,-1,Very Objective,0,0,1,0,0,surprise
neutral,1,,0,Southwest,MyCustoAdvocate,0,southwestair airline trouble getting satisfactory customer service contact aqjnhwnac negotiate resolutions,24-02-2015 08:03,38.838328,-119.6877107,0.19,0.176,0.634,-0.0516,negative,-0.2,negative,-0.2,Very Objective,0.33,0,0,0.33,0.33,happy
neutral,1,,0,Southwest,jordan_mcflyy,0,southwestair southwest help find flight nashville washington raleigh march please,24-02-2015 08:02,37.99740151,-119.0772202,0,0.385,0.615,0.6124,positive,0,neutral,0,Very Objective,0,0,0.5,0.5,0,surprise
negative,1,Customer Service Issue,0.668,Southwest,ckramer,0,southwestair longer change trips companion online years message cannot done online,24-02-2015 08:01,39.78763383,-119.5079813,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,1,Customer Service Issue,0.6364,Southwest,richstahl,0,southwestair adding number marriott stay hard take number checkin marriott phone helpful,24-02-2015 07:56,33.97660481,-119.4296385,0.095,0.365,0.541,0.4588,positive,-0.291666667,negative,-0.291666667,Very Objective,0.17,0.33,0,0.17,0.33,angry
negative,1,Customer Service Issue,0.3533,Southwest,Shan_Lyn,0,southwestair spiritairlines toronto killing smalls,24-02-2015 07:55,39.55358542,-119.5111575,0.524,0,0.476,-0.6597,negative,0,neutral,0,Very Objective,0,0,1,0,0,surprise
neutral,0.6765,,0,Southwest,OBruce135,0,southwestair thank,24-02-2015 07:55,35.90810653,-118.8384548,0,0.714,0.286,0.3612,positive,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
neutral,1,,0,Southwest,kdtwill,0,southwestair traditionally used sledge hammer taking share driving scalpel approach data science anamarketers,24-02-2015 07:53,38.13741207,-119.202094,0,0.155,0.845,0.296,positive,0,neutral,0,Very Objective,0,0,0.25,0.25,0.5,fear
positive,0.6647,,0,Southwest,egbaboy,0,southwestair customer centricity knowing people anamarketers,24-02-2015 07:52,36.18032412,-120.3986684,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
negative,1,Can't Tell,0.6909,Southwest,tylerhansen331,0,southwestair used guys travels last experience never southwest worstcustomerservice,24-02-2015 07:47,38.55621922,-119.0031158,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
neutral,0.6907,,0,Southwest,kdtwill,0,southwestair america largest airline passengers carried wonder customer service bible anamarketers,24-02-2015 07:45,35.46718693,-119.2751817,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,1,0,0,surprise
negative,1,Flight Booking Problems,0.6764,Southwest,RealMaryAgnes,0,southwestair vipliveinthevieyard first time tried redeem anything really well disappointed,24-02-2015 07:45,36.62271178,-119.9190154,0.245,0.174,0.581,-0.2466,negative,-0.1,negative,-0.1,Very Objective,0,0,0.67,0.33,0,surprise
positive,0.6634,,0,Southwest,BoobzillaXXX,0,southwestair thank hope,24-02-2015 07:39,35.41012759,-119.3690489,0,0.844,0.156,0.6597,positive,0,neutral,0,Very Objective,0,0,0,0,1,fear
negative,0.6458,Customer Service Issue,0.6458,Southwest,NecroticDoctor,0,southwestair receive refund trip cancelled flight online instead calling phone lines super busy,24-02-2015 07:38,40.98375287,-118.3977525,0.118,0.231,0.651,0.4404,positive,0.216666667,positive,0.216666667,Objective,0,0,0.25,0,0.75,fear
positive,0.6523,,0,Southwest,tmahal,0,southwestair intuit jhamilton moms careers trip intuitlife leanin qjbcvjzq southwestairlines,24-02-2015 07:36,36.52649003,-119.7097689,0,0,1,0,neutral,0,neutral,0,Very Objective,0,0,0,0,0,Neutral
neutral,0.6396,,0,Southwest,skiiim21,0,southwestair resource check delays cancelled flightlations love field flying tomorrow stressed weather,24-02-2015 07:35,35.88064962,-119.6165093,0.25,0.239,0.511,0.2023,positive,0.5,positive,0.5,Neutral,0.67,0,0,0,0.33,happy
negative,1,Late Flight,0.6743,Southwest,JLPoeschl,0,southwestair switching planes mechanical problems reboarding work long line stuck middle,24-02-2015 07:34,34.61711355,-117.4203414,0.343,0,0.657,-0.5719,negative,-0.025,negative,-0.025,Very Objective,0,0,0,0,1,fear
negative,0.6436,Flight Booking Problems,0.6436,Southwest,Gian_Ricco,0,southwestair booked phone calling list preferred added ticket must,24-02-2015 07:32,37.28549778,-118.7133743,0,0,1,0,neutral,0,neutral,0,Very Objective,0.5,0,0,0.5,0,happy
negative,1,Can't Tell,0.3466,Southwest,RealMaryAgnes,0,southwestair tried live vineyard site went time redeem packages gone,24-02-2015 07:23,37.89051096,-120.6681073,0,0,1,0,neutral,0.136363636,positive,0.136363636,Very Objective,0,0,0,0,1,fear
